Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
15.912,1.5,1.49,36.86,1.2,0.8,0.2,1
16.006,1.5,1.48,37.65,1.2,0.8,0.2,1
16.115,1.5,1.48,36.86,1.2,0.8,0.2,1
16.208,1.5,1.49,35.29,1.2,0.8,0.2,1
16.302,1.5,1.49,36.47,1.2,0.8,0.2,1
16.411,1.5,1.51,34.9,1.2,0.8,0.2,1
16.505,1.5,1.49,37.25,1.2,0.8,0.2,1
16.614,1.5,1.51,34.9,1.2,0.8,0.2,1
16.708,1.5,1.51,35.69,1.2,0.8,0.2,1
16.801,1.5,1.51,35.69,1.2,0.8,0.2,1
16.91,1.5,1.51,35.69,1.2,0.8,0.2,1
17.004,1.5,1.51,35.69,1.2,0.8,0.2,1
17.113,1.5,1.49,36.86,1.2,0.8,0.2,1
17.207,1.5,1.49,36.08,1.2,0.8,0.2,1
17.316,1.5,1.48,37.65,1.2,0.8,0.2,1
17.41,1.5,1.49,35.29,1.2,0.8,0.2,1
17.503,1.5,1.49,36.47,1.2,0.8,0.2,1
17.612,1.5,1.49,36.47,1.2,0.8,0.2,1
17.706,1.5,1.49,36.47,1.2,0.8,0.2,1
17.815,1.5,1.51,34.9,1.2,0.8,0.2,1
17.909,1.5,1.51,36.08,1.2,0.8,0.2,1
18.002,1.5,1.51,35.69,1.2,0.8,0.2,1
18.112,1.5,1.48,38.43,1.2,0.8,0.2,1
18.205,1.5,1.51,33.73,1.2,0.8,0.2,1
18.314,1.5,1.51,36.08,1.2,0.8,0.2,1
18.408,1.5,1.49,37.25,1.2,0.8,0.2,1
18.502,1.5,1.49,36.47,1.2,0.8,0.2,1
18.611,1.5,1.51,34.9,1.2,0.8,0.2,1
18.704,1.5,1.49,37.25,1.2,0.8,0.2,1
18.814,1.5,1.49,36.47,1.2,0.8,0.2,1
18.907,1.5,1.49,36.47,1.2,0.8,0.2,1
19.001,1.5,1.49,36.47,1.2,0.8,0.2,1
